snapped_at,price,market_cap,total_volume
2022-04-17 00:00:00 UTC,15.985654605927715,763104778.7853104,5818760.758079321
2022-04-18 00:00:00 UTC,16.038549014814265,764194028.5036699,4692748.088917567
2022-04-19 00:00:00 UTC,15.926569908026204,759447902.7298886,6690164.146934718
2022-04-20 00:00:00 UTC,17.048226072542217,812168943.7855159,6338192.186860877
2022-04-21 00:00:00 UTC,16.81538353885678,811044721.882813,3896757.1164528425
2022-04-22 00:00:00 UTC,16.51525266981542,792349986.787904,5381554.845487133
2022-04-23 00:00:00 UTC,15.889820875334717,764680887.523802,11438279.021641755
2022-04-24 00:00:00 UTC,15.771840147635121,760136416.2767434,3766633.1377797597
2022-04-25 00:00:00 UTC,14.964258165520159,724060692.0409927,4830042.568929961
2022-04-26 00:00:00 UTC,14.384800688789069,695659260.8876135,5067621.679887031
2022-04-27 00:00:00 UTC,13.181469532408583,637761912.1096767,3290207.637624119
2022-04-28 00:00:00 UTC,13.55941837690643,657624719.1179273,4585804.190665973
2022-04-29 00:00:00 UTC,13.48549030739886,654485613.2090052,3845917.4447621033
2022-04-30 00:00:00 UTC,12.253303669835553,597198861.0668833,2933703.055613954
2022-05-01 00:00:00 UTC,11.193748388633686,544927993.1755556,2554592.166466199
2022-05-02 00:00:00 UTC,10.744745332484827,523871319.31053203,2717921.3749800087
2022-05-03 00:00:00 UTC,11.029435453912843,538952587.8278587,2647480.7837553145
2022-05-04 00:00:00 UTC,11.091386305839315,545080975.4588516,3268030.798785658
2022-05-05 00:00:00 UTC,12.921915449144159,632908984.1938703,3923095.7297631106
2022-05-06 00:00:00 UTC,12.010095190950352,589639011.4455483,12493322.811615372
2022-05-07 00:00:00 UTC,11.653965522495518,573472528.6111357,9751255.917434443
2022-05-08 00:00:00 UTC,10.600475732139238,525241337.7119558,3406950.097044475
2022-05-09 00:00:00 UTC,9.824252271732083,485829320.29845524,1699701.6083385395
2022-05-10 00:00:00 UTC,7.626063320889196,384874154.0765787,3159302.8155942596
2022-05-11 00:00:00 UTC,7.613534194412065,373761770.4495955,5818000.326560738
2022-05-12 00:00:00 UTC,5.833463288264176,298041405.02086115,7928597.800903482
2022-05-13 00:00:00 UTC,4.937920102373829,240005746.0722502,8123352.220892781
2022-05-14 00:00:00 UTC,4.729224687071853,235763364.79303098,2176912.2524866266
2022-05-15 00:00:00 UTC,6.089884680964016,300023036.73856056,3466884.535797585
2022-05-16 00:00:00 UTC,8.27623241686487,409962603.23424375,5706254.594893219
2022-05-17 00:00:00 UTC,7.59068828045116,379441700.2050766,3387991.603574882
2022-05-18 00:00:00 UTC,8.144536807103544,407013660.4002692,2788470.7713858457
2022-05-19 00:00:00 UTC,6.68768491317587,334201552.4293913,1922780.2162035988
2022-05-20 00:00:00 UTC,6.879751645683365,348987020.9694344,1291002.2572511116
